,duracion_estadia,genero,edad,ninos,tipo_acomodacion,COL,ES,IT,NL,PE,UK,US
2627,7,0,49,0,0,0,1,0,0,0,0,0
2629,3,0,43,1,0,0,0,1,0,0,0,0
2630,3,1,45,1,0,0,0,0,1,0,0,0
2633,6,1,38,0,1,0,1,0,0,0,0,0
2636,3,0,43,1,1,0,0,0,0,1,0,0
2637,3,1,38,1,1,0,0,1,0,0,0,0
2638,2,0,45,1,1,0,0,0,1,0,0,0
2639,2,0,41,0,0,1,0,0,0,0,0,0
2640,6,0,40,0,1,1,0,0,0,0,0,0
2641,1,1,44,1,0,0,0,1,0,0,0,0
2645,4,1,45,0,1,0,0,0,0,0,0,1
2648,4,0,47,0,0,0,0,1,0,0,0,0
2650,2,1,43,0,1,0,1,0,0,0,0,0
2651,7,1,44,1,0,0,0,1,0,0,0,0
2652,1,0,32,0,1,0,0,0,0,0,0,1
2653,3,1,47,0,0,0,0,0,0,0,0,1
2654,2,0,40,1,1,0,0,0,0,0,1,0
2655,4,0,41,0,0,0,1,0,0,0,0,0
2656,6,1,42,0,1,0,0,1,0,0,0,0
2657,1,1,40,1,1,0,0,0,0,0,0,1
2658,2,1,39,1,1,0,0,0,0,0,1,0
2659,4,1,40,0,0,0,0,0,1,0,0,0
2660,1,1,40,0,0,0,0,0,1,0,0,0
2661,4,1,37,1,1,1,0,0,0,0,0,0
2662,5,1,40,1,1,0,0,0,1,0,0,0
2663,2,1,40,0,1,0,1,0,0,0,0,0
2665,2,0,45,1,0,0,0,0,0,1,0,0
2666,1,1,35,1,1,0,0,0,1,0,0,0
2667,3,1,40,1,0,0,0,0,0,1,0,0
2668,4,1,40,0,0,0,0,0,0,0,0,0
2669,3,1,42,1,0,0,1,0,0,0,0,0
2671,7,1,43,1,0,0,0,0,0,0,0,1
2672,2,1,35,0,0,0,0,0,1,0,0,0
2674,4,0,47,0,1,0,0,0,1,0,0,0
2675,8,1,39,1,1,0,0,1,0,0,0,0
2676,2,1,40,1,0,0,0,0,0,1,0,0
2677,3,0,44,1,1,0,0,0,1,0,0,0
2678,4,0,47,1,1,0,0,0,1,0,0,0
2679,4,1,40,1,0,0,0,0,0,0,1,0
2680,5,1,47,1,0,0,0,0,0,0,0,1
2682,3,0,34,0,0,0,1,0,0,0,0,0
2683,8,1,43,1,0,0,0,0,0,1,0,0
2684,4,0,40,1,1,0,1,0,0,0,0,0
2686,4,1,48,1,0,0,0,0,0,0,0,1
2687,4,1,44,0,1,0,0,0,0,0,1,0
2690,6,1,35,1,0,0,0,1,0,0,0,0
2691,6,1,42,1,0,0,0,0,0,0,0,0
2692,3,1,40,0,1,0,0,0,0,0,0,0
2695,2,0,44,1,1,0,1,0,0,0,0,0
2696,5,1,40,1,1,0,0,0,0,0,0,1
2698,8,0,42,0,0,0,0,0,1,0,0,0
2699,5,0,42,1,1,0,0,0,0,0,0,1
2700,5,0,44,1,1,0,0,0,0,0,0,1
2701,2,0,30,0,1,0,1,0,0,0,0,0
2702,4,1,43,1,0,0,0,1,0,0,0,0
2703,5,0,40,0,1,0,0,0,0,0,1,0
2704,5,0,46,0,0,0,1,0,0,0,0,0
2705,3,1,45,0,1,0,0,1,0,0,0,0
2707,9,1,43,0,1,0,0,0,0,0,0,1
2708,5,1,41,1,0,1,0,0,0,0,0,0
2709,5,0,54,0,0,0,0,0,0,0,0,0
2710,5,0,40,0,1,0,1,0,0,0,0,0
2712,1,0,43,0,0,0,0,1,0,0,0,0
2713,3,0,47,1,1,0,0,0,0,0,1,0
2715,4,1,37,0,0,0,0,0,0,0,0,1
2716,5,0,39,0,1,0,0,0,0,0,1,0
2717,3,0,35,0,1,0,1,0,0,0,0,0
2718,2,1,42,0,1,0,0,0,0,0,1,0
2719,2,1,40,1,0,0,1,0,0,0,0,0
2721,2,1,35,0,0,0,1,0,0,0,0,0
2722,4,1,40,1,1,0,0,1,0,0,0,0
2723,3,1,40,0,1,0,1,0,0,0,0,0
2725,5,1,40,1,1,0,0,0,0,0,0,1
2726,5,0,35,0,1,0,0,0,0,0,0,0
2727,8,0,40,1,0,0,0,1,0,0,0,0
2728,4,0,42,1,1,0,0,0,0,0,1,0
2729,6,0,29,0,1,0,0,0,0,0,0,0
2730,3,0,46,1,1,0,0,0,0,0,1,0
2731,3,1,37,0,0,0,0,0,1,0,0,0
2732,4,1,38,0,1,0,0,0,0,1,0,0
2733,3,0,42,0,0,0,0,0,0,1,0,0
2735,7,0,32,0,1,0,0,0,0,0,1,0
2736,2,0,39,0,0,0,1,0,0,0,0,0
2737,6,0,47,1,0,0,0,0,0,0,1,0
2739,3,1,36,0,0,0,0,1,0,0,0,0
2740,3,0,43,1,1,0,0,1,0,0,0,0
2741,5,1,42,1,0,0,1,0,0,0,0,0
2742,2,1,36,1,1,0,0,1,0,0,0,0
2744,3,1,40,1,1,0,0,0,0,0,0,0
2745,7,1,40,0,0,1,0,0,0,0,0,0
2746,4,1,45,0,1,0,0,0,0,0,0,1
2747,2,0,33,1,0,0,0,0,0,0,0,1
2748,7,0,43,1,1,0,0,0,0,0,0,0
2749,2,0,43,0,0,0,0,1,0,0,0,0
2750,5,0,41,0,1,0,0,0,1,0,0,0
2752,6,0,34,1,0,0,0,0,0,0,0,1
2753,5,0,44,1,1,0,1,0,0,0,0,0
2754,5,1,44,0,1,1,0,0,0,0,0,0
2756,3,1,37,0,0,0,0,0,0,0,0,1
2757,2,1,40,1,1,1,0,0,0,0,0,0
2758,7,1,54,0,1,0,0,0,0,0,1,0
2759,2,1,33,1,1,0,0,0,0,0,0,1
2761,2,0,28,0,1,0,0,0,0,0,0,0
2762,3,0,31,1,0,0,1,0,0,0,0,0
2763,9,1,43,0,0,1,0,0,0,0,0,0
2764,4,1,31,1,1,0,1,0,0,0,0,0
2765,4,1,33,0,1,0,0,0,1,0,0,0
2766,5,1,40,1,1,0,0,0,0,1,0,0
2767,5,1,46,0,1,0,0,0,0,0,1,0
2768,5,0,37,1,0,0,0,0,0,1,0,0
2769,3,1,33,0,0,0,1,0,0,0,0,0
2771,6,1,44,1,0,0,0,0,1,0,0,0
2773,5,0,33,0,1,0,0,0,1,0,0,0
2774,4,1,43,1,0,0,1,0,0,0,0,0
2775,1,0,38,1,0,0,0,0,0,0,1,0
2776,7,1,49,0,1,0,0,0,0,0,0,0
2778,3,0,39,0,1,1,0,0,0,0,0,0
2779,5,0,43,0,0,0,0,0,0,0,0,1
2780,2,0,35,1,0,0,0,0,0,0,1,0
2783,4,0,48,1,1,0,0,0,0,1,0,0
2784,3,1,38,0,0,0,0,1,0,0,0,0
2785,4,1,34,0,0,1,0,0,0,0,0,0
2789,3,1,38,1,1,1,0,0,0,0,0,0
2791,4,0,48,0,0,0,0,0,0,0,0,0
2793,4,1,39,0,0,0,0,0,1,0,0,0
2794,7,0,42,1,1,0,0,0,0,0,0,1
2795,3,0,41,0,0,0,1,0,0,0,0,0
2797,5,1,44,1,0,0,0,0,0,0,0,0
2798,3,0,44,0,0,0,0,0,0,0,0,1
2799,4,1,33,1,1,0,1,0,0,0,0,0
2800,2,1,32,0,0,1,0,0,0,0,0,0
2801,3,0,40,1,0,0,0,0,0,1,0,0
2803,3,1,37,1,1,0,0,0,0,0,0,1
2804,2,1,40,1,1,0,0,0,0,0,0,1
2805,3,1,36,1,1,0,0,0,0,1,0,0
2807,2,1,35,0,0,0,0,0,1,0,0,0
2808,4,0,43,0,0,0,0,0,0,0,0,0
2809,4,0,42,0,0,0,0,0,0,0,0,1
2810,4,1,49,0,1,0,0,0,0,0,0,0
2811,4,0,40,1,0,0,0,0,0,0,0,1
2812,5,1,38,0,0,0,1,0,0,0,0,0
2814,3,1,42,0,1,0,0,0,0,0,0,0
2815,2,0,33,1,1,0,0,0,0,0,1,0
2816,3,1,48,1,0,0,0,0,0,0,0,0
2817,3,0,46,0,0,0,0,1,0,0,0,0
2818,3,0,44,1,1,0,0,1,0,0,0,0
2819,1,1,42,1,0,0,0,0,0,0,0,0
2821,2,0,42,1,1,1,0,0,0,0,0,0
2822,3,0,45,0,0,0,0,0,0,0,0,0
2824,4,0,40,0,1,0,0,0,0,0,1,0
2825,3,1,40,0,1,0,0,0,0,1,0,0
2826,4,0,35,1,1,1,0,0,0,0,0,0
2827,3,0,53,1,1,0,0,0,1,0,0,0
2828,2,1,45,1,0,0,0,0,0,0,0,0
2831,4,1,43,1,0,0,0,0,0,0,1,0
2832,7,0,41,1,1,0,0,0,0,1,0,0
2833,6,0,36,1,0,0,1,0,0,0,0,0
2835,5,1,41,1,0,0,1,0,0,0,0,0
2837,5,0,47,1,1,0,0,1,0,0,0,0
2838,3,0,45,1,0,0,0,0,1,0,0,0
2841,4,1,40,1,1,1,0,0,0,0,0,0
2842,6,0,40,1,1,0,0,0,0,0,0,1
2843,3,0,38,1,0,0,0,0,0,1,0,0
2844,6,0,38,1,0,0,0,0,0,0,0,1
2845,4,0,39,0,1,0,0,0,1,0,0,0
2846,7,1,44,0,1,1,0,0,0,0,0,0
2847,3,0,35,1,0,0,1,0,0,0,0,0
2848,6,1,50,1,1,1,0,0,0,0,0,0
2849,1,1,41,0,1,0,0,0,0,1,0,0
2850,2,0,33,1,0,1,0,0,0,0,0,0
2852,5,0,45,1,1,1,0,0,0,0,0,0
2853,6,1,38,1,1,1,0,0,0,0,0,0
2854,6,1,42,0,1,0,0,0,0,0,0,0
2855,4,0,44,1,1,0,0,0,1,0,0,0
2856,6,0,40,1,0,1,0,0,0,0,0,0
2857,4,0,38,0,1,0,0,0,1,0,0,0
2858,2,1,40,0,0,0,0,0,0,1,0,0
2860,3,1,40,1,1,0,1,0,0,0,0,0
2861,4,1,47,0,1,0,0,0,1,0,0,0
2862,2,1,39,1,1,0,0,1,0,0,0,0
2864,7,1,42,0,1,0,0,0,0,0,0,0
2865,2,1,40,0,1,0,0,0,0,1,0,0
2867,5,0,33,0,1,0,0,1,0,0,0,0
2869,4,1,35,1,1,1,0,0,0,0,0,0
2870,4,0,41,0,0,1,0,0,0,0,0,0
2871,2,1,39,1,0,0,0,0,0,0,1,0
2872,5,0,54,0,0,0,0,0,0,0,0,1
2873,3,0,35,1,0,0,0,0,0,0,1,0
2874,5,0,41,1,1,0,0,0,1,0,0,0
2876,7,0,44,1,1,0,0,0,0,1,0,0
2877,1,1,42,0,1,0,0,0,0,1,0,0
2878,9,1,41,0,1,0,0,0,1,0,0,0
2879,1,0,40,0,1,0,0,0,0,0,0,0
2880,6,0,43,1,1,0,0,0,0,0,0,1
2881,8,0,40,0,1,1,0,0,0,0,0,0
2882,4,0,30,0,1,0,0,1,0,0,0,0
2883,5,0,43,1,1,0,0,0,1,0,0,0
2884,2,0,43,0,0,0,0,0,0,1,0,0
2885,3,0,35,0,1,0,0,0,0,0,1,0
2888,2,1,35,0,1,0,0,0,1,0,0,0
2889,1,0,44,1,1,0,1,0,0,0,0,0
2890,5,0,39,0,1,0,0,1,0,0,0,0
2891,4,1,40,1,1,0,0,0,0,0,0,1
2892,6,0,40,0,0,1,0,0,0,0,0,0
2893,3,0,42,0,0,1,0,0,0,0,0,0
2894,2,0,32,1,0,0,0,0,0,0,0,0
2895,4,1,40,1,1,0,0,0,0,0,0,1
2896,3,0,45,1,1,0,0,0,0,0,0,0
2897,5,1,39,1,1,0,0,0,0,0,1,0
2898,2,0,37,0,1,0,0,0,0,1,0,0
2899,3,0,37,1,0,1,0,0,0,0,0,0
2900,4,0,48,1,1,0,0,0,0,0,0,1
2901,5,0,44,0,0,0,0,0,0,1,0,0
2902,6,0,40,1,1,0,0,0,0,0,1,0
2903,1,1,37,1,1,0,0,0,1,0,0,0
2904,1,1,38,0,1,0,0,0,0,0,0,0
2906,3,0,36,0,1,0,0,1,0,0,0,0
2907,6,0,39,0,1,0,1,0,0,0,0,0
2908,2,1,28,0,1,0,0,1,0,0,0,0
2909,6,0,37,1,0,0,0,0,0,0,1,0
2910,4,0,28,0,1,0,1,0,0,0,0,0
2911,3,1,40,1,0,0,0,0,1,0,0,0
2912,3,0,44,1,1,0,0,0,1,0,0,0
2913,5,1,40,1,1,0,1,0,0,0,0,0
2914,3,0,34,1,1,0,0,0,1,0,0,0
2915,5,1,37,0,1,0,1,0,0,0,0,0
2916,4,0,38,0,0,0,0,0,0,0,0,1
2918,3,1,54,1,0,1,0,0,0,0,0,0
2919,4,0,39,1,0,0,0,0,0,0,1,0
2920,3,0,38,0,1,0,0,0,0,0,0,1
2921,4,1,44,0,0,0,0,0,0,0,1,0
2922,4,1,37,0,0,0,0,0,0,1,0,0
2923,8,0,40,1,1,0,0,0,0,0,1,0
2924,2,1,41,0,1,0,0,0,0,0,0,1
2925,2,0,41,1,1,0,0,0,0,0,0,0
2926,3,0,36,1,0,0,0,0,0,1,0,0
2927,7,1,40,1,0,0,1,0,0,0,0,0
2929,3,0,46,1,1,0,1,0,0,0,0,0
2930,4,0,45,1,1,1,0,0,0,0,0,0
2931,5,1,36,1,1,0,1,0,0,0,0,0
2932,4,1,45,0,1,0,0,1,0,0,0,0
2933,5,1,42,1,0,0,0,0,0,0,1,0
2934,7,0,41,0,0,0,1,0,0,0,0,0
2935,4,1,48,1,0,0,0,0,1,0,0,0
2936,2,1,42,1,1,0,0,0,0,0,0,0
2938,5,1,56,1,1,0,1,0,0,0,0,0
2939,3,0,40,0,1,0,1,0,0,0,0,0
2941,2,0,50,1,1,0,0,0,1,0,0,0
2942,4,1,41,1,0,0,0,0,0,0,1,0
2943,4,0,35,0,1,1,0,0,0,0,0,0
2944,7,1,40,0,0,0,0,1,0,0,0,0
2945,3,1,22,1,1,0,0,0,0,0,0,0
2946,2,1,34,1,1,0,0,1,0,0,0,0
2947,1,0,39,0,1,0,1,0,0,0,0,0
2949,2,1,36,1,1,0,0,0,0,0,0,1
2950,4,1,34,0,1,1,0,0,0,0,0,0
2951,2,0,48,0,0,0,0,1,0,0,0,0
2952,8,0,28,1,1,0,0,0,0,0,0,0
2953,4,0,38,0,1,1,0,0,0,0,0,0
2954,5,1,37,0,0,1,0,0,0,0,0,0
2955,5,0,38,0,1,0,0,0,0,1,0,0
2956,2,0,41,0,1,0,0,0,0,0,1,0
2957,3,0,40,0,0,0,0,0,0,0,1,0
2958,2,1,31,1,0,0,0,0,0,0,0,0
2959,6,0,36,0,1,0,0,0,0,1,0,0
2960,3,1,31,0,0,0,1,0,0,0,0,0
2961,3,1,43,0,0,0,0,0,0,0,0,0
2962,6,1,49,0,1,0,0,0,0,0,1,0
2963,2,0,41,0,0,0,0,1,0,0,0,0
2964,3,1,36,0,0,0,0,1,0,0,0,0
2965,3,1,43,0,1,0,0,0,0,0,0,1
2967,3,1,35,0,0,0,0,0,0,0,0,1
2968,6,1,42,0,0,0,0,0,0,0,0,0
2970,2,0,37,0,1,0,0,0,0,0,0,1
2971,3,1,40,0,0,0,1,0,0,0,0,0
2972,2,0,44,0,0,0,0,0,1,0,0,0
2975,4,0,39,1,0,0,0,0,0,0,0,0
2976,7,1,42,1,0,0,0,0,0,1,0,0
2977,3,0,40,1,1,0,1,0,0,0,0,0
2978,5,1,47,0,1,0,0,0,0,0,1,0
2980,1,1,50,1,0,0,0,1,0,0,0,0
2981,4,1,42,0,1,0,0,0,0,0,1,0
2982,2,1,42,1,1,0,0,1,0,0,0,0
2983,4,0,45,0,0,0,0,0,0,0,1,0
2984,2,0,36,0,1,0,0,0,0,0,0,1
2985,4,1,43,0,1,0,0,0,0,0,1,0
2986,3,0,37,1,1,0,0,0,0,1,0,0
2987,3,1,43,1,0,0,0,0,1,0,0,0
2988,2,1,42,1,0,0,0,1,0,0,0,0
2989,2,0,33,1,0,0,0,1,0,0,0,0
2990,6,1,40,1,1,0,1,0,0,0,0,0
2992,1,0,41,0,0,0,0,0,1,0,0,0
2994,6,0,47,0,0,0,0,1,0,0,0,0
2995,6,0,39,0,0,0,0,0,0,0,0,1
2996,4,0,44,0,0,0,0,0,0,1,0,0
2997,1,0,46,1,1,0,0,0,1,0,0,0
2998,1,1,40,0,0,0,0,0,0,0,0,1
2999,4,0,39,1,0,0,0,0,1,0,0,0
3001,2,0,45,1,1,1,0,0,0,0,0,0
3002,2,0,46,0,1,1,0,0,0,0,0,0
3003,2,1,45,0,1,0,0,1,0,0,0,0
3004,1,0,46,0,0,1,0,0,0,0,0,0
3006,2,0,40,0,0,0,0,0,0,0,1,0
3007,3,1,44,0,0,0,0,0,0,0,0,0
3008,6,1,33,1,1,1,0,0,0,0,0,0
3009,3,1,40,1,1,0,0,0,0,0,0,0
3010,5,1,43,0,1,0,0,0,0,0,0,0
3011,4,1,40,1,1,0,0,0,0,0,0,0
3012,3,0,40,1,0,0,0,0,0,0,0,0
3013,3,1,37,0,0,0,0,0,0,1,0,0
3014,4,0,42,1,1,0,0,0,0,1,0,0
3016,2,0,47,0,0,0,0,0,0,0,1,0
3018,3,0,34,1,1,0,0,0,0,0,0,1
3019,4,0,40,1,1,0,0,0,0,0,0,1
3020,5,1,46,0,1,0,1,0,0,0,0,0
3022,4,0,48,0,0,0,0,0,0,1,0,0
3023,3,0,40,0,1,0,0,0,0,0,1,0
3024,4,1,39,1,1,0,1,0,0,0,0,0
3026,5,0,40,0,1,0,0,1,0,0,0,0
3027,5,0,41,0,0,1,0,0,0,0,0,0
3028,5,1,26,1,1,0,1,0,0,0,0,0
3030,7,0,42,1,1,0,0,0,1,0,0,0
3032,2,1,47,1,0,0,0,0,0,0,1,0
3033,4,0,31,0,1,0,0,0,0,0,0,1
3035,4,0,45,0,0,0,1,0,0,0,0,0
3037,3,1,40,0,0,0,0,0,0,1,0,0
3038,4,1,45,1,0,0,0,0,1,0,0,0
3039,1,0,48,0,0,0,0,0,0,1,0,0
3041,1,0,34,0,1,0,0,1,0,0,0,0
3042,4,1,31,1,0,1,0,0,0,0,0,0
3043,4,0,37,1,0,0,0,1,0,0,0,0
3044,6,0,45,1,1,0,0,0,1,0,0,0
3045,5,0,38,1,0,0,0,0,0,1,0,0
3046,5,0,43,1,1,0,0,0,0,0,0,0
3047,4,1,36,0,1,0,1,0,0,0,0,0
3049,3,0,40,1,1,0,0,0,0,0,0,1
3050,5,0,49,0,0,0,0,0,0,0,0,0
3051,6,0,39,0,1,0,0,0,1,0,0,0
3053,2,0,50,0,0,0,1,0,0,0,0,0
3054,4,0,40,1,0,0,0,0,1,0,0,0
3055,6,0,46,0,0,0,0,0,0,1,0,0
3056,6,0,44,0,1,0,0,0,1,0,0,0
3057,5,1,41,0,1,0,0,0,0,1,0,0
3058,7,1,25,0,0,1,0,0,0,0,0,0
3059,5,1,44,0,0,0,0,0,0,0,0,0
3060,4,1,47,1,0,0,0,0,0,1,0,0
3061,2,0,46,0,0,0,1,0,0,0,0,0
3062,4,0,43,0,0,0,0,0,1,0,0,0
3063,7,0,39,0,1,0,0,0,0,0,0,1
3064,5,0,44,0,0,0,1,0,0,0,0,0
3065,1,1,47,0,1,0,0,0,1,0,0,0
3066,3,1,40,0,1,0,0,0,0,0,0,1
3069,7,0,43,1,0,1,0,0,0,0,0,0
3071,4,0,41,1,1,0,0,0,0,0,1,0
3072,3,0,45,1,1,0,0,1,0,0,0,0
3073,1,1,38,1,1,0,0,1,0,0,0,0
3074,5,1,38,1,1,0,1,0,0,0,0,0
3076,1,0,45,0,0,0,1,0,0,0,0,0
3078,4,1,36,0,1,0,0,1,0,0,0,0
3079,3,0,39,0,1,0,0,0,0,0,0,1
3081,5,0,40,1,0,0,0,0,0,1,0,0
3082,2,1,39,0,0,1,0,0,0,0,0,0
3083,3,1,44,1,0,0,0,1,0,0,0,0
3084,3,0,40,0,1,0,0,0,0,0,0,1
3085,7,1,40,1,0,1,0,0,0,0,0,0
3086,4,0,38,0,0,0,1,0,0,0,0,0
3087,2,0,43,0,0,0,0,0,1,0,0,0
3088,5,1,43,0,1,0,0,0,1,0,0,0
3089,5,0,32,1,0,0,0,0,0,1,0,0
3090,1,0,43,0,0,0,0,0,0,0,0,1
3091,4,0,41,0,1,0,0,0,0,0,0,1
3092,4,0,47,0,0,0,0,0,0,0,0,0
3093,7,0,46,0,0,0,0,0,0,0,0,1
3094,2,1,41,1,0,0,1,0,0,0,0,0
3095,3,1,44,1,1,0,0,1,0,0,0,0
3098,7,0,40,0,1,0,0,0,1,0,0,0
3099,4,0,37,0,1,0,0,1,0,0,0,0
3100,3,0,40,0,0,0,0,0,0,0,0,0
3101,6,0,47,1,1,0,0,0,0,1,0,0
3102,3,0,42,1,1,0,0,0,0,0,1,0
3103,3,1,31,1,1,0,0,0,0,1,0,0
3104,2,0,50,1,1,0,0,0,0,0,0,1
3105,3,0,40,0,1,0,1,0,0,0,0,0
3106,5,1,47,1,0,0,0,1,0,0,0,0
3108,2,0,49,1,1,0,0,0,1,0,0,0
3109,6,0,43,1,0,0,0,0,0,0,0,1
3111,3,0,45,0,1,1,0,0,0,0,0,0
3112,6,1,38,1,1,0,1,0,0,0,0,0
3113,3,0,42,1,1,0,0,0,0,0,0,1
3114,4,1,48,0,1,0,0,0,1,0,0,0
3116,2,0,42,0,1,0,0,0,0,0,1,0
3117,3,0,37,1,1,0,0,0,0,0,0,1
3118,4,1,35,1,1,0,0,0,0,1,0,0
3119,3,0,40,0,1,0,0,0,0,0,0,0
3120,7,0,40,1,1,0,0,0,1,0,0,0
3121,6,1,40,0,1,0,1,0,0,0,0,0
3123,5,0,35,1,0,0,1,0,0,0,0,0
3124,2,1,38,1,1,0,0,0,0,0,0,0
3125,2,0,40,1,1,0,0,0,0,1,0,0
3126,5,0,44,1,1,0,0,0,0,0,1,0
3129,4,0,36,0,1,0,0,0,0,0,1,0
3130,3,0,46,0,0,0,0,0,0,0,0,0
3131,3,0,40,0,0,0,0,0,0,0,1,0
3132,2,1,44,1,0,0,0,0,0,0,1,0
3133,7,0,37,0,1,0,0,0,0,0,0,0
3134,6,1,40,0,0,0,0,0,0,0,1,0
3135,6,1,38,1,1,0,0,0,1,0,0,0
3136,3,1,36,1,1,0,1,0,0,0,0,0
3137,2,0,39,1,0,0,0,1,0,0,0,0
3138,2,0,38,0,1,0,0,0,1,0,0,0
3139,3,0,40,0,1,1,0,0,0,0,0,0
3140,4,0,40,0,1,0,1,0,0,0,0,0
3141,4,1,29,1,1,0,0,1,0,0,0,0
3142,3,0,38,0,1,1,0,0,0,0,0,0
3144,4,0,46,0,0,0,0,0,1,0,0,0
3145,8,1,46,1,0,0,0,0,0,0,0,1
3146,9,0,49,1,1,1,0,0,0,0,0,0
3147,6,0,39,0,1,0,0,0,0,0,0,1
3148,3,1,41,1,0,0,1,0,0,0,0,0
3150,7,1,39,0,0,0,0,0,0,0,0,1
3151,1,0,40,1,0,0,0,0,1,0,0,0
3152,4,1,41,1,1,0,0,0,0,1,0,0
3153,2,1,34,1,1,0,0,1,0,0,0,0
3154,2,1,40,1,1,1,0,0,0,0,0,0
3155,4,0,43,1,0,0,0,0,0,0,1,0
3156,3,0,44,0,0,0,0,0,0,0,0,0
3157,5,1,44,0,1,0,0,1,0,0,0,0
3158,3,0,40,0,1,0,0,0,0,0,0,0
3159,2,0,40,1,1,1,0,0,0,0,0,0
3160,3,1,38,1,1,0,0,0,0,0,1,0
3161,5,1,33,1,1,0,0,0,0,0,0,1
3162,8,0,43,1,1,0,0,0,0,0,0,1
3163,6,1,36,1,1,1,0,0,0,0,0,0
3166,6,0,37,0,1,0,0,0,1,0,0,0
3167,2,1,38,1,1,0,0,0,0,0,0,0
3170,4,0,43,0,0,1,0,0,0,0,0,0
3171,4,1,44,1,0,0,0,0,0,0,1,0
3173,10,1,38,0,0,0,0,0,0,0,0,0
3174,5,1,47,0,1,0,0,0,0,1,0,0
3175,3,0,33,1,0,0,0,0,0,0,0,0
3176,6,0,40,1,0,0,0,0,0,0,0,1
3177,6,1,46,0,1,0,0,0,0,0,1,0
3178,3,0,34,1,1,0,1,0,0,0,0,0
3179,5,1,37,1,1,0,0,0,0,0,0,0
3180,2,1,36,0,1,0,0,0,0,0,0,1
3181,3,0,48,0,0,1,0,0,0,0,0,0
3184,2,1,37,1,1,0,0,1,0,0,0,0
3186,4,1,37,0,0,0,0,0,0,0,0,0
3187,4,0,40,0,0,0,0,1,0,0,0,0
3188,3,1,44,0,1,1,0,0,0,0,0,0
3189,4,0,33,1,0,0,1,0,0,0,0,0
3190,4,1,33,0,1,0,0,1,0,0,0,0
3191,2,1,46,0,1,0,0,0,0,0,0,1
3192,2,0,38,0,1,0,0,0,0,1,0,0
3193,2,0,43,1,1,0,0,1,0,0,0,0
3194,6,0,34,1,0,1,0,0,0,0,0,0
3195,5,1,42,1,0,0,0,0,0,0,0,0
3196,3,0,36,0,1,0,0,0,0,0,0,1
3197,3,0,43,0,0,0,0,0,0,0,0,1
3198,6,0,45,0,0,0,1,0,0,0,0,0
3200,3,0,38,0,1,1,0,0,0,0,0,0
3201,2,1,39,0,1,0,0,0,0,0,1,0
3202,5,1,48,1,0,0,1,0,0,0,0,0
3203,4,1,27,1,1,0,0,1,0,0,0,0
3204,4,0,36,0,1,0,0,0,0,0,0,0
3205,3,0,44,0,0,0,0,0,0,1,0,0
3206,2,0,40,1,0,0,0,0,0,0,0,0
3208,5,0,38,1,0,0,0,1,0,0,0,0
3209,4,0,35,0,0,0,0,0,0,0,0,1
3210,8,1,38,1,1,0,0,0,0,0,0,0
3211,5,0,36,1,1,1,0,0,0,0,0,0
3213,6,1,40,1,1,0,0,0,0,0,0,1
3215,3,1,54,1,1,0,0,0,0,0,1,0
3216,6,1,37,0,1,0,0,0,0,0,0,1
3218,4,0,40,1,0,0,0,0,0,0,0,0
3219,3,1,33,0,0,0,0,0,0,0,1,0
3220,6,1,40,1,1,0,0,1,0,0,0,0
3222,4,0,37,0,1,1,0,0,0,0,0,0
3224,4,0,38,0,1,0,0,1,0,0,0,0
3225,5,0,38,0,1,0,0,0,0,0,1,0
3226,2,0,38,1,0,0,0,0,0,0,0,1
3229,2,0,32,1,1,0,0,0,0,0,0,0
3231,4,1,37,1,1,0,1,0,0,0,0,0
3232,5,1,42,1,1,0,0,0,0,0,0,0
3233,5,1,41,1,0,0,0,0,0,1,0,0
3234,3,1,43,0,0,0,0,0,0,1,0,0
3235,3,0,40,0,0,0,0,1,0,0,0,0
3237,3,0,40,1,1,0,0,0,0,0,0,1
3240,5,1,38,0,0,0,0,0,0,1,0,0
3241,4,1,40,1,1,0,0,1,0,0,0,0
3242,6,0,31,0,1,0,0,0,0,0,0,0
3243,5,0,40,1,0,0,0,0,0,0,0,0
3244,3,0,46,0,0,0,0,0,1,0,0,0
3245,4,1,32,0,0,0,0,0,0,1,0,0
3246,6,1,37,0,0,1,0,0,0,0,0,0
3247,1,1,33,1,1,0,0,1,0,0,0,0
3248,2,1,37,0,1,0,0,0,0,0,1,0
3249,5,0,41,1,1,0,0,0,1,0,0,0
3250,3,0,43,1,1,1,0,0,0,0,0,0
3251,1,1,42,0,0,0,1,0,0,0,0,0
3252,3,0,39,1,0,0,0,1,0,0,0,0
3253,3,0,38,1,0,0,1,0,0,0,0,0
3254,4,0,41,0,0,0,0,0,0,1,0,0
3255,3,0,40,1,0,0,1,0,0,0,0,0
3256,2,0,54,0,0,0,0,0,0,0,0,0
3257,8,1,36,0,0,1,0,0,0,0,0,0
3258,7,1,40,0,1,0,0,0,0,1,0,0
3259,8,0,45,1,1,0,0,1,0,0,0,0
3260,4,0,40,1,0,0,0,1,0,0,0,0
3261,4,1,40,0,0,0,1,0,0,0,0,0
3262,2,1,48,1,1,0,0,0,0,1,0,0
3263,4,0,36,1,0,0,0,0,1,0,0,0
3265,3,0,42,0,0,0,0,0,0,0,1,0
3266,4,1,40,1,1,0,0,0,0,0,1,0
3267,3,0,42,0,1,0,0,0,0,0,0,1
3268,3,1,40,1,1,0,0,0,0,0,1,0
